run,query,data,type,phase,netw_time,reas_time
0,pp4.n3,data_5_000_pt2.nt,direct,n/a,1657,122841
0,pp4.n3,data_5_000_pt2.nt,bwd,create,14,20
0,pp4.n3,data_5_000_pt2.nt,bwd,run,1591,15341
0,pp4.n3,data_5_000_pt2.nt,bwd,total,1605,15361
0,pp4.n3,data_5_000_pt2.nt,bwd_ro1,run,1654,1321
0,pp4.n3,data_5_000_pt2.nt,bwd_ro1,total,1654,1321
0,pp4.n3,data_5_000_pt2.nt,fwd,create,14,20
0,pp4.n3,data_5_000_pt2.nt,fwd,run,1574,11700
0,pp4.n3,data_5_000_pt2.nt,fwd,total,1588,11720

0,pp4-re1.n3,data_5_000_pt2.nt,direct,n/a,1586,462315
0,pp4-re1.n3,data_5_000_pt2.nt,bwd,create,14,20
0,pp4-re1.n3,data_5_000_pt2.nt,bwd,run,1603,28823
0,pp4-re1.n3,data_5_000_pt2.nt,bwd,total,1617,28843
0,pp4-re1.n3,data_5_000_pt2.nt,bwd_ro1,run,1616,28009
0,pp4-re1.n3,data_5_000_pt2.nt,bwd_ro1,total,1616,28009
0,pp4-re1.n3,data_5_000_pt2.nt,fwd,create,15,20
0,pp4-re1.n3,data_5_000_pt2.nt,fwd,run,1618,53469
0,pp4-re1.n3,data_5_000_pt2.nt,fwd,total,1633,53489
