r,c
http://example.org/Baa61480922dfd66c93f8ea674e84224a,LOC
http://example.org/B75b283315bbf3e1f5cae0a6cd2342632,271749004
http://example.org/B8c84d9c8142cd9e9d8e01938dd929c15,225517006
http://example.org/Bb4cb5f714920de8328313a08609c0039,LOC
http://example.org/B4f6d6245d7aed3c5425ba1c65985a58e,active
http://example.org/B7d4cc39963891b3e57471b2982d6d2b6,271749004
http://example.org/Baf57b9322e2a751fcf3d486dae905293,confirmed
http://example.org/Bd99c8d3a1fd2576eb7faf5e8c02aaf9e,active
http://example.org/Bd674e269abb3fa3d2a78398169e71236,9826008
http://example.org/B6b3da3e253b7a02167e686d3f5f8bd12,active
http://example.org/Be46a679869d7092d7f4082747dbc0fb9,225517006
http://example.org/Bc8f2629d30a660b0eb25636573ad1e26,confirmed
http://example.org/Bfd93aed90162f0a9f608810aaf767ba7,LOC
http://example.org/B12588360f541d65caa5aa229f2bf8555,420008001
http://example.org/B67eafbfc27337f2b2333bd61949d6490,active
http://example.org/Bc4ae72de00fc3ef697d3966f277d9d4a,active
http://example.org/B70bb80812508b8cc9a241056737d0745,LOC
http://example.org/B84ad7873beef9e69d3182781dfc7f3ea,active
http://example.org/B0e03247a82cf772b9a68f98ce4ab3686,confirmed
http://example.org/B1e84270285ffd08748ab152216995c09,225517006
http://example.org/Bc2cfc1000ded08559cab99170e4ad062,active
http://example.org/Baec699f836da38109d1c74900e51f66a,confirmed
http://example.org/B620ee3c11c19de84f0bc4264958deb0f,9826008
http://example.org/B10c27611a5a66b62fa6e44c4d299e1c5,active
http://example.org/Bb459fa0a7ac377e82ca7d2436bbf20fd,active
http://example.org/B224fb384c235ebd44ec249fabb1fe1e1,LOC
http://example.org/B66c6f304ddf7cef49e1cd71b1fb6f1d4,420008001
http://example.org/B8994525eeb72b1da9fa1a25c7e3707dd,225517006
http://example.org/Bc8daf50ce1e690e50183390e72235ac8,active
http://example.org/B59a74e3a6624cbd6285c6eb6e17722c4,active
http://example.org/B53a2f0d497ee1af1387e189385281934,confirmed
http://example.org/Bcc8182e38037f38907a50eb39baa6942,LOC
http://example.org/B9702a8a34a4c2a44425e36ea34547abd,active
http://example.org/B19dd158b519c8f35b53e15d5ab35535d,active
http://example.org/B8e27ea39ec1c90ff2bed4c5b2a648f41,420008001
http://example.org/B61dc2f232ac0168f2b6c7e17de25e658,active
http://example.org/Bc1fab23c2126f3d2ce76d893ac3bc2cd,420008001
http://example.org/B8def20041f22d4cb038e5b3e2b57fd49,271749004
http://example.org/B86fd4375a523c392ce9e2eb08ff319a9,225517006
http://example.org/B14b0b4c3ec1f94f4ff55ecd394884f99,77386006
