run,query,data,load_time,exec_time
0,pp1.sparql,data_1_000_pt2.n3,220,106
0,pp2-2.sparql,data_1_000_pt2.n3,212,86
0,pp2.sparql,data_1_000_pt2.n3,228,119
0,pp3.sparql,data_1_000_pt2.n3,218,146
0,pp4-2.sparql,data_1_000_pt2.n3,214,84
0,pp4.sparql,data_1_000_pt2.n3,218,117


0,pp1.sparql,data_1_000_pt2.nt,324,103
0,pp2-2.sparql,data_1_000_pt2.nt,323,91
0,pp2.sparql,data_1_000_pt2.nt,323,124
0,pp3.sparql,data_1_000_pt2.nt,318,113
0,pp4-2.sparql,data_1_000_pt2.nt,314,90
0,pp4.sparql,data_1_000_pt2.nt,320,116

0,pp1.sparql,data_1_000_pt2.nt,317,115
0,pp2-2.sparql,data_1_000_pt2.nt,313,89
0,pp2.sparql,data_1_000_pt2.nt,311,120
0,pp3.sparql,data_1_000_pt2.nt,317,151
0,pp4-2.sparql,data_1_000_pt2.nt,315,95
0,pp4.sparql,data_1_000_pt2.nt,319,120


0,pp1.sparql,data_1_000_pt2.nt,423,103
0,pp2-2.sparql,data_1_000_pt2.nt,413,87
0,pp2.sparql,data_1_000_pt2.nt,440,112
0,pp3.sparql,data_1_000_pt2.nt,427,142
0,pp4-2.sparql,data_1_000_pt2.nt,420,83
0,pp4.sparql,data_1_000_pt2.nt,417,110

0,pp1.sparql,data_1_000_pt2.nt,448,104
0,pp2-2.sparql,data_1_000_pt2.nt,419,84
0,pp2.sparql,data_1_000_pt2.nt,414,114
0,pp3.sparql,data_1_000_pt2.nt,436,144
0,pp4-2.sparql,data_1_000_pt2.nt,417,82
0,pp4.sparql,data_1_000_pt2.nt,415,111

0,pp1.sparql,data_1_000_pt2.nt,494,138
0,pp2-2.sparql,data_1_000_pt2.nt,477,103
0,pp2.sparql,data_1_000_pt2.nt,454,123
0,pp3.sparql,data_1_000_pt2.nt,458,159
0,pp4-2.sparql,data_1_000_pt2.nt,491,82
0,pp4.sparql,data_1_000_pt2.nt,459,119

0,pp1.sparql,data_1_000_pt2.nt,476,107
0,pp2-2.sparql,data_1_000_pt2.nt,455,87
0,pp2.sparql,data_1_000_pt2.nt,442,122
0,pp3.sparql,data_1_000_pt2.nt,422,144
0,pp4-2.sparql,data_1_000_pt2.nt,427,82
0,pp4.sparql,data_1_000_pt2.nt,424,112
