query,data,type,phase,netw_time,reas_time
query-0.n3,data_100.nt,fwd,create,16,51
query-0.n3,data_100.nt,fwd,run,18,17
query-0.n3,data_100.nt,fwd,total,34,68
query-1.n3,data_100.nt,fwd,create,16,61
query-1.n3,data_100.nt,fwd,run,17,14
query-1.n3,data_100.nt,fwd,total,33,75
query-10.n3,data_100.nt,fwd,create,16,63
query-10.n3,data_100.nt,fwd,run,18,6
query-10.n3,data_100.nt,fwd,total,34,69
query-11.n3,data_100.nt,fwd,create,16,58
query-11.n3,data_100.nt,fwd,run,15,26
query-11.n3,data_100.nt,fwd,total,31,84
query-12.n3,data_100.nt,fwd,create,18,55
query-12.n3,data_100.nt,fwd,run,15,170
query-12.n3,data_100.nt,fwd,total,33,225
query-13.n3,data_100.nt,fwd,create,16,38
query-13.n3,data_100.nt,fwd,run,14,3
query-13.n3,data_100.nt,fwd,total,30,41
query-14.n3,data_100.nt,fwd,create,15,59
query-14.n3,data_100.nt,fwd,run,15,41
query-14.n3,data_100.nt,fwd,total,30,100
query-15.n3,data_100.nt,fwd,create,16,24
query-15.n3,data_100.nt,fwd,run,12,1
query-15.n3,data_100.nt,fwd,total,28,25
query-16.n3,data_100.nt,fwd,create,16,78
query-16.n3,data_100.nt,fwd,run,18,503
query-16.n3,data_100.nt,fwd,total,34,581
query-17.n3,data_100.nt,fwd,create,15,47
query-17.n3,data_100.nt,fwd,run,17,6
query-17.n3,data_100.nt,fwd,total,32,53
query-18.n3,data_100.nt,fwd,create,15,69
query-18.n3,data_100.nt,fwd,run,16,11
query-18.n3,data_100.nt,fwd,total,31,80
query-19.n3,data_100.nt,fwd,create,16,62
query-19.n3,data_100.nt,fwd,run,18,6
query-19.n3,data_100.nt,fwd,total,34,68
query-2.n3,data_100.nt,fwd,create,17,75
query-2.n3,data_100.nt,fwd,run,22,4952
query-2.n3,data_100.nt,fwd,total,39,5027
query-20.n3,data_100.nt,fwd,create,16,115
query-20.n3,data_100.nt,fwd,run,29,199
query-20.n3,data_100.nt,fwd,total,45,314
query-21.n3,data_100.nt,fwd,create,16,39
query-21.n3,data_100.nt,fwd,run,14,4
query-21.n3,data_100.nt,fwd,total,30,43
query-22.n3,data_100.nt,fwd,create,17,60
query-22.n3,data_100.nt,fwd,run,19,38
query-22.n3,data_100.nt,fwd,total,36,98
query-23.n3,data_100.nt,fwd,create,16,64
query-23.n3,data_100.nt,fwd,run,15,90
query-23.n3,data_100.nt,fwd,total,31,154
query-24.n3,data_100.nt,fwd,create,16,97
query-24.n3,data_100.nt,fwd,run,20,649
query-24.n3,data_100.nt,fwd,total,36,746
query-25.n3,data_100.nt,fwd,create,16,61
query-25.n3,data_100.nt,fwd,run,15,14
query-25.n3,data_100.nt,fwd,total,31,75
query-26.n3,data_100.nt,fwd,create,16,51
query-26.n3,data_100.nt,fwd,run,14,3
query-26.n3,data_100.nt,fwd,total,30,54
query-27.n3,data_100.nt,fwd,create,16,79
query-27.n3,data_100.nt,fwd,run,23,197
query-27.n3,data_100.nt,fwd,total,39,276
query-28.n3,data_100.nt,fwd,create,16,109
query-28.n3,data_100.nt,fwd,run,27,216
query-28.n3,data_100.nt,fwd,total,43,325
query-29.n3,data_100.nt,fwd,create,16,71
query-29.n3,data_100.nt,fwd,run,17,122
query-29.n3,data_100.nt,fwd,total,33,193
query-3.n3,data_100.nt,fwd,create,16,65
query-3.n3,data_100.nt,fwd,run,19,145
query-3.n3,data_100.nt,fwd,total,35,210
query-30.n3,data_100.nt,fwd,create,16,73
query-30.n3,data_100.nt,fwd,run,17,11
query-30.n3,data_100.nt,fwd,total,33,84
query-31.n3,data_100.nt,fwd,create,16,61
query-31.n3,data_100.nt,fwd,run,15,1182
query-31.n3,data_100.nt,fwd,total,31,1243
query-32.n3,data_100.nt,fwd,create,16,64
