run,query,data,type,phase,netw_time,reas_time
0,query-0.n3,data_100.nt,fwd,create,17,53
0,query-0.n3,data_100.nt,fwd,run,20,18
0,query-0.n3,data_100.nt,fwd,total,37,71
0,query-1.n3,data_100.nt,fwd,create,17,60
0,query-1.n3,data_100.nt,fwd,run,18,14
0,query-1.n3,data_100.nt,fwd,total,35,74
0,query-10.n3,data_100.nt,fwd,create,16,67
0,query-10.n3,data_100.nt,fwd,run,20,6
0,query-10.n3,data_100.nt,fwd,total,36,73
0,query-11.n3,data_100.nt,fwd,create,17,60
0,query-11.n3,data_100.nt,fwd,run,17,27
0,query-11.n3,data_100.nt,fwd,total,34,87
0,query-12.n3,data_100.nt,fwd,create,17,55
0,query-12.n3,data_100.nt,fwd,run,16,172
0,query-12.n3,data_100.nt,fwd,total,33,227
0,query-13.n3,data_100.nt,fwd,create,17,39
0,query-13.n3,data_100.nt,fwd,run,14,2
0,query-13.n3,data_100.nt,fwd,total,31,41
0,query-14.n3,data_100.nt,fwd,create,15,58
0,query-14.n3,data_100.nt,fwd,run,17,42
0,query-14.n3,data_100.nt,fwd,total,32,100
0,query-15.n3,data_100.nt,fwd,create,15,24
0,query-15.n3,data_100.nt,fwd,run,13,1
0,query-15.n3,data_100.nt,fwd,total,28,25
0,query-16.n3,data_100.nt,fwd,create,16,76
0,query-16.n3,data_100.nt,fwd,run,18,516
0,query-16.n3,data_100.nt,fwd,total,34,592
0,query-17.n3,data_100.nt,fwd,create,17,47
0,query-17.n3,data_100.nt,fwd,run,17,5
0,query-17.n3,data_100.nt,fwd,total,34,52
0,query-18.n3,data_100.nt,fwd,create,17,71
0,query-18.n3,data_100.nt,fwd,run,18,11
0,query-18.n3,data_100.nt,fwd,total,35,82
0,query-19.n3,data_100.nt,fwd,create,17,63
0,query-19.n3,data_100.nt,fwd,run,19,7
0,query-19.n3,data_100.nt,fwd,total,36,70
0,query-2.n3,data_100.nt,fwd,create,16,74
0,query-2.n3,data_100.nt,fwd,run,23,5080
0,query-2.n3,data_100.nt,fwd,total,39,5154
0,query-20.n3,data_100.nt,fwd,create,18,116
0,query-20.n3,data_100.nt,fwd,run,30,201
0,query-20.n3,data_100.nt,fwd,total,48,317
0,query-21.n3,data_100.nt,fwd,create,16,41
0,query-21.n3,data_100.nt,fwd,run,16,5
0,query-21.n3,data_100.nt,fwd,total,32,46
0,query-22.n3,data_100.nt,fwd,create,16,61
0,query-22.n3,data_100.nt,fwd,run,20,40
0,query-22.n3,data_100.nt,fwd,total,36,101
0,query-23.n3,data_100.nt,fwd,create,16,66
0,query-23.n3,data_100.nt,fwd,run,17,96
0,query-23.n3,data_100.nt,fwd,total,33,162
0,query-24.n3,data_100.nt,fwd,create,17,100
0,query-24.n3,data_100.nt,fwd,run,22,670
0,query-24.n3,data_100.nt,fwd,total,39,770
0,query-25.n3,data_100.nt,fwd,create,16,61
0,query-25.n3,data_100.nt,fwd,run,16,15
0,query-25.n3,data_100.nt,fwd,total,32,76
0,query-26.n3,data_100.nt,fwd,create,16,53
