query,data,type,phase,netw_time,reas_time
query-0.n3,data.n3,direct,n/a,8,208
query-0.n3,data.n3,bwd,create,9,13
query-0.n3,data.n3,bwd,run,8,113
query-0.n3,data.n3,bwd,total,17,126
query-0.n3,data.n3,fwd,create,12,33
query-0.n3,data.n3,fwd,run,8,2
query-0.n3,data.n3,fwd,total,20,35
query-1.n3,data.n3,direct,n/a,7,11
query-1.n3,data.n3,bwd,create,8,23
query-1.n3,data.n3,bwd,run,12,2
query-1.n3,data.n3,bwd,total,20,25
query-1.n3,data.n3,fwd,create,13,55
query-1.n3,data.n3,fwd,run,12,6
query-1.n3,data.n3,fwd,total,25,61
query-10.n3,data.n3,direct,n/a,8,3
query-10.n3,data.n3,bwd,create,8,26
query-10.n3,data.n3,bwd,run,14,1
query-10.n3,data.n3,bwd,total,22,27
query-10.n3,data.n3,fwd,create,14,60
query-10.n3,data.n3,fwd,run,14,3
query-10.n3,data.n3,fwd,total,28,63
query-11.n3,data.n3,direct,n/a,8,23
query-11.n3,data.n3,bwd,create,8,23
query-11.n3,data.n3,bwd,run,11,8
query-11.n3,data.n3,bwd,total,19,31
query-11.n3,data.n3,fwd,create,13,54
query-11.n3,data.n3,fwd,run,11,11
query-11.n3,data.n3,fwd,total,24,65
query-12.n3,data.n3,direct,n/a,8,202
query-12.n3,data.n3,bwd,create,8,20
query-12.n3,data.n3,bwd,run,11,74
query-12.n3,data.n3,bwd,total,19,94
query-12.n3,data.n3,fwd,create,13,49
query-12.n3,data.n3,fwd,run,10,22
query-12.n3,data.n3,fwd,total,23,71
query-13.n3,data.n3,direct,n/a,8,1
query-13.n3,data.n3,bwd,create,8,14
query-13.n3,data.n3,bwd,run,9,0
query-13.n3,data.n3,bwd,total,17,14
query-13.n3,data.n3,fwd,create,13,37
query-13.n3,data.n3,fwd,run,9,1
query-13.n3,data.n3,fwd,total,22,38
query-14.n3,data.n3,direct,n/a,8,63
query-14.n3,data.n3,bwd,create,7,12
query-14.n3,data.n3,bwd,run,7,29
query-14.n3,data.n3,bwd,total,14,41
query-14.n3,data.n3,fwd,create,13,30
query-14.n3,data.n3,fwd,run,7,9
query-14.n3,data.n3,fwd,total,20,39
query-15.n3,data.n3,direct,n/a,7,0
query-15.n3,data.n3,bwd,create,7,8
query-15.n3,data.n3,bwd,run,7,0
query-15.n3,data.n3,bwd,total,14,8
query-15.n3,data.n3,fwd,create,12,22
query-15.n3,data.n3,fwd,run,7,0
query-15.n3,data.n3,fwd,total,19,22
query-16.n3,data.n3,direct,n/a,8,194
query-16.n3,data.n3,bwd,create,8,29
query-16.n3,data.n3,bwd,run,13,82
query-16.n3,data.n3,bwd,total,21,111
query-16.n3,data.n3,fwd,create,13,72
query-16.n3,data.n3,fwd,run,12,75
query-16.n3,data.n3,fwd,total,25,147
query-17.n3,data.n3,direct,n/a,7,4
query-17.n3,data.n3,bwd,create,8,19
query-17.n3,data.n3,bwd,run,12,2
query-17.n3,data.n3,bwd,total,20,21
query-17.n3,data.n3,fwd,create,13,44
query-17.n3,data.n3,fwd,run,12,3
query-17.n3,data.n3,fwd,total,25,47
query-18.n3,data.n3,direct,n/a,8,5
query-18.n3,data.n3,bwd,create,8,27
query-18.n3,data.n3,bwd,run,13,2
query-18.n3,data.n3,bwd,total,21,29
query-18.n3,data.n3,fwd,create,13,65
query-18.n3,data.n3,fwd,run,13,3
query-18.n3,data.n3,fwd,total,26,68
query-19.n3,data.n3,direct,n/a,9,2
query-19.n3,data.n3,bwd,create,8,25
query-19.n3,data.n3,bwd,run,13,0
query-19.n3,data.n3,bwd,total,21,25
query-19.n3,data.n3,fwd,create,14,59
query-19.n3,data.n3,fwd,run,12,3
query-19.n3,data.n3,fwd,total,26,62
query-2.n3,data.n3,direct,n/a,9,1053
query-2.n3,data.n3,bwd,create,9,31
query-2.n3,data.n3,bwd,run,17,467
query-2.n3,data.n3,bwd,total,26,498
query-2.n3,data.n3,fwd,create,13,70
query-2.n3,data.n3,fwd,run,17,120
query-2.n3,data.n3,fwd,total,30,190
query-20.n3,data.n3,direct,n/a,8,610
query-20.n3,data.n3,bwd,create,8,26
query-20.n3,data.n3,bwd,run,14,246
query-20.n3,data.n3,bwd,total,22,272
query-20.n3,data.n3,fwd,create,13,58
query-20.n3,data.n3,fwd,run,13,8
query-20.n3,data.n3,fwd,total,26,66
query-21.n3,data.n3,direct,n/a,8,1
query-21.n3,data.n3,bwd,create,8,15
query-21.n3,data.n3,bwd,run,10,0
query-21.n3,data.n3,bwd,total,18,15
query-21.n3,data.n3,fwd,create,13,36
query-21.n3,data.n3,fwd,run,10,2
query-21.n3,data.n3,fwd,total,23,38
query-22.n3,data.n3,direct,n/a,8,23
query-22.n3,data.n3,bwd,create,8,24
query-22.n3,data.n3,bwd,run,13,11
query-22.n3,data.n3,bwd,total,21,35
query-22.n3,data.n3,fwd,create,14,57
query-22.n3,data.n3,fwd,run,13,6
query-22.n3,data.n3,fwd,total,27,63
query-23.n3,data.n3,direct,n/a,8,121
query-23.n3,data.n3,bwd,create,8,25
query-23.n3,data.n3,bwd,run,10,24
query-23.n3,data.n3,bwd,total,18,49
query-23.n3,data.n3,fwd,create,13,58
query-23.n3,data.n3,fwd,run,11,30
query-23.n3,data.n3,fwd,total,24,88
query-24.n3,data.n3,direct,n/a,8,2483
query-24.n3,data.n3,bwd,create,8,38
query-24.n3,data.n3,bwd,run,15,1101
query-24.n3,data.n3,bwd,total,23,1139
query-24.n3,data.n3,fwd,create,13,92
query-24.n3,data.n3,fwd,run,15,73
query-24.n3,data.n3,fwd,total,28,165
query-25.n3,data.n3,direct,n/a,7,55
query-25.n3,data.n3,bwd,create,8,23
query-25.n3,data.n3,bwd,run,10,8
query-25.n3,data.n3,bwd,total,18,31
query-25.n3,data.n3,fwd,create,14,60
query-25.n3,data.n3,fwd,run,10,6
query-25.n3,data.n3,fwd,total,24,66
query-26.n3,data.n3,direct,n/a,8,5
query-26.n3,data.n3,bwd,create,8,19
query-26.n3,data.n3,bwd,run,10,1
query-26.n3,data.n3,bwd,total,18,20
query-26.n3,data.n3,fwd,create,13,47
query-26.n3,data.n3,fwd,run,10,2
query-26.n3,data.n3,fwd,total,23,49
query-27.n3,data.n3,direct,n/a,8,26510
query-27.n3,data.n3,bwd,create,8,20
query-27.n3,data.n3,bwd,run,11,3738
query-27.n3,data.n3,bwd,total,19,3758
query-27.n3,data.n3,fwd,create,14,50
query-27.n3,data.n3,fwd,run,10,34
query-27.n3,data.n3,fwd,total,24,84
query-28.n3,data.n3,direct,n/a,9,9514
query-28.n3,data.n3,bwd,create,8,35
query-28.n3,data.n3,bwd,run,17,1186
query-28.n3,data.n3,bwd,total,25,1221
query-28.n3,data.n3,fwd,create,13,84
query-28.n3,data.n3,fwd,run,16,27
query-28.n3,data.n3,fwd,total,29,111
query-29.n3,data.n3,direct,n/a,8,66
query-29.n3,data.n3,bwd,create,8,27
query-29.n3,data.n3,bwd,run,12,16
query-29.n3,data.n3,bwd,total,20,43
query-29.n3,data.n3,fwd,create,13,65
query-29.n3,data.n3,fwd,run,12,22
query-29.n3,data.n3,fwd,total,25,87
query-3.n3,data.n3,direct,n/a,9,246
query-3.n3,data.n3,bwd,create,9,27
query-3.n3,data.n3,bwd,run,15,47
query-3.n3,data.n3,bwd,total,24,74
query-3.n3,data.n3,fwd,create,14,60
query-3.n3,data.n3,fwd,run,15,23
query-3.n3,data.n3,fwd,total,29,83
query-30.n3,data.n3,direct,n/a,8,4
query-30.n3,data.n3,bwd,create,8,28
query-30.n3,data.n3,bwd,run,13,1
query-30.n3,data.n3,bwd,total,21,29
query-30.n3,data.n3,fwd,create,13,68
query-30.n3,data.n3,fwd,run,18,5
query-30.n3,data.n3,fwd,total,31,73
query-31.n3,data.n3,direct,n/a,8,2774
query-31.n3,data.n3,bwd,create,7,22
query-31.n3,data.n3,bwd,run,10,842
query-31.n3,data.n3,bwd,total,17,864
query-31.n3,data.n3,fwd,create,13,56
query-31.n3,data.n3,fwd,run,10,50
query-31.n3,data.n3,fwd,total,23,106
query-32.n3,data.n3,direct,n/a,8,24
query-32.n3,data.n3,bwd,create,8,24
query-32.n3,data.n3,bwd,run,13,5
query-32.n3,data.n3,bwd,total,21,29
query-32.n3,data.n3,fwd,create,13,58
query-32.n3,data.n3,fwd,run,13,5
query-32.n3,data.n3,fwd,total,26,63
query-33.n3,data.n3,direct,n/a,8,135
query-33.n3,data.n3,bwd,create,8,27
query-33.n3,data.n3,bwd,run,14,13
query-33.n3,data.n3,bwd,total,22,40
query-33.n3,data.n3,fwd,create,12,64
query-33.n3,data.n3,fwd,run,14,6
query-33.n3,data.n3,fwd,total,26,70
query-34.n3,data.n3,direct,n/a,8,467
query-34.n3,data.n3,bwd,create,8,22
query-34.n3,data.n3,bwd,run,12,141
query-34.n3,data.n3,bwd,total,20,163
query-34.n3,data.n3,fwd,create,14,55
query-34.n3,data.n3,fwd,run,12,16
query-34.n3,data.n3,fwd,total,26,71
query-35.n3,data.n3,direct,n/a,8,5
query-35.n3,data.n3,bwd,create,8,27
query-35.n3,data.n3,bwd,run,12,0
query-35.n3,data.n3,bwd,total,20,27
query-35.n3,data.n3,fwd,create,13,65
query-35.n3,data.n3,fwd,run,12,5
query-35.n3,data.n3,fwd,total,25,70
query-36.n3,data.n3,direct,n/a,8,122
query-36.n3,data.n3,bwd,create,8,30
query-36.n3,data.n3,bwd,run,13,25
query-36.n3,data.n3,bwd,total,21,55
query-36.n3,data.n3,fwd,create,13,70
query-36.n3,data.n3,fwd,run,13,17
query-36.n3,data.n3,fwd,total,26,87
query-37.n3,data.n3,direct,n/a,7,3
query-37.n3,data.n3,bwd,create,8,14
query-37.n3,data.n3,bwd,run,8,1
query-37.n3,data.n3,bwd,total,16,15
query-37.n3,data.n3,fwd,create,12,33
query-37.n3,data.n3,fwd,run,8,3
query-37.n3,data.n3,fwd,total,20,36
query-38.n3,data.n3,direct,n/a,7,318
query-38.n3,data.n3,bwd,create,8,18
query-38.n3,data.n3,bwd,run,11,142
query-38.n3,data.n3,bwd,total,19,160
query-38.n3,data.n3,fwd,create,13,43
query-38.n3,data.n3,fwd,run,12,39
query-38.n3,data.n3,fwd,total,25,82
query-39.n3,data.n3,direct,n/a,8,20
query-39.n3,data.n3,bwd,create,8,19
query-39.n3,data.n3,bwd,run,9,2
query-39.n3,data.n3,bwd,total,17,21
query-39.n3,data.n3,fwd,create,13,48
query-39.n3,data.n3,fwd,run,10,13
query-39.n3,data.n3,fwd,total,23,61
query-4.n3,data.n3,direct,n/a,9,25
query-4.n3,data.n3,bwd,create,8,31
query-4.n3,data.n3,bwd,run,15,8
query-4.n3,data.n3,bwd,total,23,39
query-4.n3,data.n3,fwd,create,13,73
query-4.n3,data.n3,fwd,run,15,8
query-4.n3,data.n3,fwd,total,28,81
query-40.n3,data.n3,direct,n/a,7,612
query-40.n3,data.n3,bwd,create,8,14
query-40.n3,data.n3,bwd,run,9,225
query-40.n3,data.n3,bwd,total,17,239
query-40.n3,data.n3,fwd,create,12,35
query-40.n3,data.n3,fwd,run,9,43
query-40.n3,data.n3,fwd,total,21,78
query-41.n3,data.n3,direct,n/a,9,941
query-41.n3,data.n3,bwd,create,9,38
query-41.n3,data.n3,bwd,run,19,259
query-41.n3,data.n3,bwd,total,28,297
query-41.n3,data.n3,fwd,create,13,121
query-41.n3,data.n3,fwd,run,19,10
query-41.n3,data.n3,fwd,total,32,131
query-42.n3,data.n3,direct,n/a,7,1
query-42.n3,data.n3,bwd,create,7,19
query-42.n3,data.n3,bwd,run,9,0
query-42.n3,data.n3,bwd,total,16,19
query-42.n3,data.n3,fwd,create,12,46
query-42.n3,data.n3,fwd,run,10,2
query-42.n3,data.n3,fwd,total,22,48
query-43.n3,data.n3,direct,n/a,7,1216
query-43.n3,data.n3,bwd,create,8,12
query-43.n3,data.n3,bwd,run,7,43
query-43.n3,data.n3,bwd,total,15,55
query-43.n3,data.n3,fwd,create,13,33
query-43.n3,data.n3,fwd,run,7,17
query-43.n3,data.n3,fwd,total,20,50
query-44.n3,data.n3,direct,n/a,8,1
query-44.n3,data.n3,bwd,create,8,14
query-44.n3,data.n3,bwd,run,9,0
query-44.n3,data.n3,bwd,total,17,14
query-44.n3,data.n3,fwd,create,13,36
