query,data,load_time,exec_time
query-0.sparql,data_100.nt,141,94
query-1.sparql,data_100.nt,142,120
query-10.sparql,data_100.nt,138,105
query-11.sparql,data_100.nt,140,156
query-12.sparql,data_100.nt,142,1134
query-13.sparql,data_100.nt,137,96
query-14.sparql,data_100.nt,144,107
query-15.sparql,data_100.nt,145,84
query-16.sparql,data_100.nt,145,239
query-17.sparql,data_100.nt,137,97
query-18.sparql,data_100.nt,144,85
query-19.sparql,data_100.nt,145,441
query-2.sparql,data_100.nt,136,38345
query-20.sparql,data_100.nt,139,133
query-21.sparql,data_100.nt,138,94
query-22.sparql,data_100.nt,144,15350
query-23.sparql,data_100.nt,140,774
query-24.sparql,data_100.nt,138,2793
query-25.sparql,data_100.nt,138,131
query-26.sparql,data_100.nt,143,79
query-27.sparql,data_100.nt,143,238
query-28.sparql,data_100.nt,137,517
query-29.sparql,data_100.nt,139,4355
query-3.sparql,data_100.nt,138,16335
query-30.sparql,data_100.nt,137,85
query-31.sparql,data_100.nt,141,80
query-32.sparql,data_100.nt,140,119
query-33.sparql,data_100.nt,141,78
query-34.sparql,data_100.nt,143,80
query-35.sparql,data_100.nt,142,183
query-36.sparql,data_100.nt,145,503
query-37.sparql,data_100.nt,142,105
query-38.sparql,data_100.nt,137,844
query-39.sparql,data_100.nt,138,117
query-4.sparql,data_100.nt,141,2468
query-40.sparql,data_100.nt,141,135
query-41.sparql,data_100.nt,140,3625
query-42.sparql,data_100.nt,141,84
query-43.sparql,data_100.nt,141,243
query-44.sparql,data_100.nt,139,99
query-46.sparql,data_100.nt,136,91
query-47.sparql,data_100.nt,138,90
query-48.sparql,data_100.nt,143,96
query-49.sparql,data_100.nt,138,137
query-5.sparql,data_100.nt,138,112
query-6.sparql,data_100.nt,144,812
query-7.sparql,data_100.nt,139,2443
query-8.sparql,data_100.nt,139,451
query-9.sparql,data_100.nt,141,84
