run,query,data,load_time,exec_time
0,query-0.sparql,data_100.nt,140,106
0,query-1.sparql,data_100.nt,132,122
0,query-10.sparql,data_100.nt,126,106
0,query-11.sparql,data_100.nt,124,153
0,query-12.sparql,data_100.nt,124,1147
0,query-13.sparql,data_100.nt,125,102
0,query-14.sparql,data_100.nt,124,111
0,query-15.sparql,data_100.nt,128,88
0,query-16.sparql,data_100.nt,126,214
0,query-17.sparql,data_100.nt,126,101
0,query-18.sparql,data_100.nt,125,89
0,query-19.sparql,data_100.nt,127,362
0,query-2.sparql,data_100.nt,125,39709
0,query-20.sparql,data_100.nt,130,131
0,query-21.sparql,data_100.nt,126,102
0,query-22.sparql,data_100.nt,125,12287
0,query-23.sparql,data_100.nt,130,843
0,query-24.sparql,data_100.nt,125,2157
0,query-25.sparql,data_100.nt,125,127
0,query-26.sparql,data_100.nt,125,83
0,query-27.sparql,data_100.nt,126,199
0,query-28.sparql,data_100.nt,127,366
0,query-29.sparql,data_100.nt,127,3309
0,query-3.sparql,data_100.nt,127,10578
0,query-30.sparql,data_100.nt,127,91
0,query-31.sparql,data_100.nt,126,86
0,query-32.sparql,data_100.nt,124,114
0,query-33.sparql,data_100.nt,128,83
0,query-34.sparql,data_100.nt,124,83
0,query-35.sparql,data_100.nt,124,157
0,query-36.sparql,data_100.nt,127,555
0,query-37.sparql,data_100.nt,122,107
0,query-38.sparql,data_100.nt,127,658
0,query-39.sparql,data_100.nt,127,124
0,query-4.sparql,data_100.nt,124,1929
0,query-40.sparql,data_100.nt,126,135
0,query-41.sparql,data_100.nt,126,2114
0,query-42.sparql,data_100.nt,127,91
0,query-43.sparql,data_100.nt,131,203
0,query-44.sparql,data_100.nt,125,102
0,query-46.sparql,data_100.nt,125,96
0,query-47.sparql,data_100.nt,125,95
0,query-48.sparql,data_100.nt,124,104
0,query-49.sparql,data_100.nt,124,135
0,query-5.sparql,data_100.nt,125,110
0,query-6.sparql,data_100.nt,126,721
0,query-7.sparql,data_100.nt,129,2009
0,query-8.sparql,data_100.nt,124,387
0,query-9.sparql,data_100.nt,130,93
1,query-0.sparql,data_100.nt,129,101
1,query-1.sparql,data_100.nt,129,122
1,query-10.sparql,data_100.nt,128,107
1,query-11.sparql,data_100.nt,130,153
1,query-12.sparql,data_100.nt,122,1139
1,query-13.sparql,data_100.nt,128,102
1,query-14.sparql,data_100.nt,129,110
1,query-15.sparql,data_100.nt,128,89
1,query-16.sparql,data_100.nt,139,234
1,query-17.sparql,data_100.nt,126,105
1,query-18.sparql,data_100.nt,131,90
1,query-19.sparql,data_100.nt,130,367
1,query-2.sparql,data_100.nt,127,39695
1,query-20.sparql,data_100.nt,129,132
1,query-21.sparql,data_100.nt,126,103
1,query-22.sparql,data_100.nt,130,12292
1,query-23.sparql,data_100.nt,128,813
1,query-24.sparql,data_100.nt,125,2173
1,query-25.sparql,data_100.nt,126,126
1,query-26.sparql,data_100.nt,127,82
1,query-27.sparql,data_100.nt,125,198
1,query-28.sparql,data_100.nt,127,353
1,query-29.sparql,data_100.nt,122,3320
1,query-3.sparql,data_100.nt,127,10456
1,query-30.sparql,data_100.nt,127,89
1,query-31.sparql,data_100.nt,125,85
1,query-32.sparql,data_100.nt,126,117
1,query-33.sparql,data_100.nt,122,84
1,query-34.sparql,data_100.nt,127,83
1,query-35.sparql,data_100.nt,126,159
1,query-36.sparql,data_100.nt,127,550
1,query-37.sparql,data_100.nt,126,106
