query,data,load_time,exec_time
query-0.sparql,data.n3,137,89
query-1.sparql,data.n3,130,104
query-10.sparql,data.n3,137,100
query-11.sparql,data.n3,133,110
query-12.sparql,data.n3,135,293
query-13.sparql,data.n3,135,91
query-14.sparql,data.n3,135,100
query-15.sparql,data.n3,140,87
query-16.sparql,data.n3,133,132
query-17.sparql,data.n3,134,90
query-18.sparql,data.n3,136,87
query-19.sparql,data.n3,140,100
query-2.sparql,data.n3,136,337
query-20.sparql,data.n3,132,104
query-21.sparql,data.n3,136,92
query-22.sparql,data.n3,134,119
query-23.sparql,data.n3,138,148
query-24.sparql,data.n3,135,543
query-25.sparql,data.n3,132,103
query-26.sparql,data.n3,131,78
query-27.sparql,data.n3,133,152
query-28.sparql,data.n3,137,229
query-29.sparql,data.n3,135,153
query-3.sparql,data.n3,130,148
query-30.sparql,data.n3,132,82
query-31.sparql,data.n3,138,80
query-32.sparql,data.n3,135,102
query-33.sparql,data.n3,135,77
query-34.sparql,data.n3,134,80
query-35.sparql,data.n3,134,90
query-36.sparql,data.n3,134,193
query-37.sparql,data.n3,132,95
query-38.sparql,data.n3,134,202
query-39.sparql,data.n3,143,110
query-4.sparql,data.n3,133,110
query-40.sparql,data.n3,134,113
query-41.sparql,data.n3,134,258
query-42.sparql,data.n3,141,85
query-43.sparql,data.n3,132,158
query-44.sparql,data.n3,131,99
query-45.sparql,data.n3,139,3503
query-46.sparql,data.n3,137,86
query-47.sparql,data.n3,135,90
query-48.sparql,data.n3,134,94
query-49.sparql,data.n3,133,112
query-5.sparql,data.n3,132,93
query-6.sparql,data.n3,133,426
query-7.sparql,data.n3,133,231
query-8.sparql,data.n3,134,260
query-9.sparql,data.n3,140,85
