x0,x1,x2
http://example.org/gmark/59,http://example.org/gmark/59,http://example.org/gmark/59
http://example.org/gmark/57,http://example.org/gmark/57,http://example.org/gmark/57
http://example.org/gmark/57,http://example.org/gmark/57,http://example.org/gmark/74
http://example.org/gmark/57,http://example.org/gmark/57,http://example.org/gmark/72
http://example.org/gmark/57,http://example.org/gmark/57,http://example.org/gmark/62
http://example.org/gmark/57,http://example.org/gmark/57,http://example.org/gmark/54
http://example.org/gmark/57,http://example.org/gmark/57,http://example.org/gmark/52
http://example.org/gmark/57,http://example.org/gmark/57,http://example.org/gmark/58
http://example.org/gmark/74,http://example.org/gmark/57,http://example.org/gmark/57
http://example.org/gmark/74,http://example.org/gmark/57,http://example.org/gmark/74
http://example.org/gmark/74,http://example.org/gmark/57,http://example.org/gmark/72
http://example.org/gmark/74,http://example.org/gmark/57,http://example.org/gmark/62
http://example.org/gmark/74,http://example.org/gmark/57,http://example.org/gmark/54
http://example.org/gmark/74,http://example.org/gmark/57,http://example.org/gmark/52
http://example.org/gmark/74,http://example.org/gmark/57,http://example.org/gmark/58
http://example.org/gmark/72,http://example.org/gmark/57,http://example.org/gmark/57
http://example.org/gmark/72,http://example.org/gmark/57,http://example.org/gmark/74
http://example.org/gmark/72,http://example.org/gmark/57,http://example.org/gmark/72
http://example.org/gmark/72,http://example.org/gmark/57,http://example.org/gmark/62
http://example.org/gmark/72,http://example.org/gmark/57,http://example.org/gmark/54
http://example.org/gmark/72,http://example.org/gmark/57,http://example.org/gmark/52
http://example.org/gmark/72,http://example.org/gmark/57,http://example.org/gmark/58
http://example.org/gmark/62,http://example.org/gmark/57,http://example.org/gmark/57
http://example.org/gmark/62,http://example.org/gmark/57,http://example.org/gmark/74
http://example.org/gmark/62,http://example.org/gmark/57,http://example.org/gmark/72
http://example.org/gmark/62,http://example.org/gmark/57,http://example.org/gmark/62
http://example.org/gmark/62,http://example.org/gmark/57,http://example.org/gmark/54
http://example.org/gmark/62,http://example.org/gmark/57,http://example.org/gmark/52
http://example.org/gmark/62,http://example.org/gmark/57,http://example.org/gmark/58
http://example.org/gmark/54,http://example.org/gmark/57,http://example.org/gmark/57
http://example.org/gmark/54,http://example.org/gmark/57,http://example.org/gmark/74
http://example.org/gmark/54,http://example.org/gmark/57,http://example.org/gmark/72
http://example.org/gmark/54,http://example.org/gmark/57,http://example.org/gmark/62
http://example.org/gmark/54,http://example.org/gmark/57,http://example.org/gmark/54
http://example.org/gmark/54,http://example.org/gmark/57,http://example.org/gmark/52
http://example.org/gmark/54,http://example.org/gmark/57,http://example.org/gmark/58
http://example.org/gmark/52,http://example.org/gmark/57,http://example.org/gmark/57
http://example.org/gmark/52,http://example.org/gmark/57,http://example.org/gmark/74
http://example.org/gmark/52,http://example.org/gmark/57,http://example.org/gmark/72
http://example.org/gmark/52,http://example.org/gmark/57,http://example.org/gmark/62
http://example.org/gmark/52,http://example.org/gmark/57,http://example.org/gmark/54
http://example.org/gmark/52,http://example.org/gmark/57,http://example.org/gmark/52
http://example.org/gmark/52,http://example.org/gmark/57,http://example.org/gmark/58
http://example.org/gmark/58,http://example.org/gmark/57,http://example.org/gmark/57
http://example.org/gmark/58,http://example.org/gmark/57,http://example.org/gmark/74
http://example.org/gmark/58,http://example.org/gmark/57,http://example.org/gmark/72
http://example.org/gmark/58,http://example.org/gmark/57,http://example.org/gmark/62
http://example.org/gmark/58,http://example.org/gmark/57,http://example.org/gmark/54
http://example.org/gmark/58,http://example.org/gmark/57,http://example.org/gmark/52
http://example.org/gmark/58,http://example.org/gmark/57,http://example.org/gmark/58
http://example.org/gmark/57,http://example.org/gmark/74,http://example.org/gmark/74
http://example.org/gmark/57,http://example.org/gmark/74,http://example.org/gmark/57
http://example.org/gmark/57,http://example.org/gmark/74,http://example.org/gmark/72
http://example.org/gmark/57,http://example.org/gmark/74,http://example.org/gmark/62
http://example.org/gmark/57,http://example.org/gmark/74,http://example.org/gmark/54
http://example.org/gmark/57,http://example.org/gmark/74,http://example.org/gmark/52
http://example.org/gmark/57,http://example.org/gmark/74,http://example.org/gmark/58
http://example.org/gmark/74,http://example.org/gmark/74,http://example.org/gmark/74
http://example.org/gmark/74,http://example.org/gmark/74,http://example.org/gmark/57
http://example.org/gmark/74,http://example.org/gmark/74,http://example.org/gmark/72
http://example.org/gmark/74,http://example.org/gmark/74,http://example.org/gmark/62
http://example.org/gmark/74,http://example.org/gmark/74,http://example.org/gmark/54
http://example.org/gmark/74,http://example.org/gmark/74,http://example.org/gmark/52
http://example.org/gmark/74,http://example.org/gmark/74,http://example.org/gmark/58
http://example.org/gmark/72,http://example.org/gmark/74,http://example.org/gmark/74
http://example.org/gmark/72,http://example.org/gmark/74,http://example.org/gmark/57
http://example.org/gmark/72,http://example.org/gmark/74,http://example.org/gmark/72
