run,query,data,load_time,exec_time
0,query-0.sparql,data_100.nt,116,138
0,query-1.sparql,data_100.nt,103,100
0,query-10.sparql,data_100.nt,98,90
0,query-11.sparql,data_100.nt,100,139
0,query-12.sparql,data_100.nt,99,423
0,query-13.sparql,data_100.nt,99,80
0,query-14.sparql,data_100.nt,101,211
0,query-15.sparql,data_100.nt,104,70
0,query-16.sparql,data_100.nt,104,237
0,query-17.sparql,data_100.nt,99,86
0,query-18.sparql,data_100.nt,96,64
0,query-19.sparql,data_100.nt,97,77
0,query-2.sparql,data_100.nt,96,15818
0,query-20.sparql,data_100.nt,97,165
0,query-21.sparql,data_100.nt,98,77
0,query-22.sparql,data_100.nt,97,6684
0,query-23.sparql,data_100.nt,96,77
0,query-24.sparql,data_100.nt,99,1264
0,query-25.sparql,data_100.nt,95,99
0,query-26.sparql,data_100.nt,96,65
0,query-27.sparql,data_100.nt,97,1473
0,query-28.sparql,data_100.nt,96,2724
0,query-29.sparql,data_100.nt,98,2121
0,query-3.sparql,data_100.nt,97,5811
0,query-30.sparql,data_100.nt,96,64
0,query-31.sparql,data_100.nt,96,67
0,query-32.sparql,data_100.nt,96,85
0,query-33.sparql,data_100.nt,99,75
0,query-34.sparql,data_100.nt,100,72
0,query-35.sparql,data_100.nt,96,73
0,query-36.sparql,data_100.nt,104,427
0,query-37.sparql,data_100.nt,94,79
0,query-38.sparql,data_100.nt,96,1733
0,query-39.sparql,data_100.nt,97,87
0,query-4.sparql,data_100.nt,97,1749
0,query-40.sparql,data_100.nt,96,411
0,query-41.sparql,data_100.nt,97,773
0,query-42.sparql,data_100.nt,96,62
0,query-43.sparql,data_100.nt,98,1320
0,query-44.sparql,data_100.nt,95,82
0,query-46.sparql,data_100.nt,95,73
0,query-47.sparql,data_100.nt,101,72
0,query-48.sparql,data_100.nt,95,77
0,query-49.sparql,data_100.nt,101,529
0,query-5.sparql,data_100.nt,96,95
0,query-6.sparql,data_100.nt,96,1141
0,query-7.sparql,data_100.nt,100,1188
0,query-8.sparql,data_100.nt,96,885
0,query-9.sparql,data_100.nt,97,64
1,query-0.sparql,data_100.nt,97,123
1,query-1.sparql,data_100.nt,96,97
1,query-10.sparql,data_100.nt,97,88
1,query-11.sparql,data_100.nt,97,140
1,query-12.sparql,data_100.nt,98,420
