?P5=null,z=http://example.org/gmark/60205,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/60205,v=http://example.org/gmark/1615
?P5=null,z=http://example.org/gmark/60268,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/60268,v=http://example.org/gmark/2906
?P5=null,z=http://example.org/gmark/60426,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/60426,v=http://example.org/gmark/5836
?P5=null,z=http://example.org/gmark/60715,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/60715,v=http://example.org/gmark/3014
?P5=null,z=http://example.org/gmark/60870,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/60870,v=http://example.org/gmark/302
?P5=null,z=http://example.org/gmark/60870,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/60870,v=http://example.org/gmark/1424
?P5=null,z=http://example.org/gmark/60871,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/60871,v=http://example.org/gmark/5305
?P5=null,z=http://example.org/gmark/61408,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/61408,v=http://example.org/gmark/5261
?P5=null,z=http://example.org/gmark/62542,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/62572,v=http://example.org/gmark/2241
?P5=null,z=http://example.org/gmark/62542,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/62572,v=http://example.org/gmark/134
?P5=null,z=http://example.org/gmark/62572,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/62572,v=http://example.org/gmark/2241
?P5=null,z=http://example.org/gmark/62572,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/62572,v=http://example.org/gmark/134
?P5=null,z=http://example.org/gmark/62709,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/62709,v=http://example.org/gmark/2519
?P5=null,z=http://example.org/gmark/66113,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/62709,v=http://example.org/gmark/2519
?P5=null,z=http://example.org/gmark/63229,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63229,v=http://example.org/gmark/2134
?P5=null,z=http://example.org/gmark/63229,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63229,v=http://example.org/gmark/3944
?P5=null,z=http://example.org/gmark/63525,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63525,v=http://example.org/gmark/2173
?P5=null,z=http://example.org/gmark/63525,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63525,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/63525,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63525,v=http://example.org/gmark/1494
?P5=null,z=http://example.org/gmark/63525,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63525,v=http://example.org/gmark/3948
?P5=null,z=http://example.org/gmark/63525,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63525,v=http://example.org/gmark/1752
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/1475
?P5=null,z=http://example.org/gmark/63699,?P6=null,y=http://example.org/propaux,x=http://example.org/gmark/63699,v=http://example.org/gmark/4018
