query,data,type,phase,netw_time,reas_time
query-0.n3,data.n3,direct,n/a,9,207
query-0.n3,data.n3,bwd,create,8,13
query-0.n3,data.n3,bwd,run,13,113
query-0.n3,data.n3,bwd,total,21,126
query-0.n3,data.n3,fwd,create,13,33
query-0.n3,data.n3,fwd,run,8,2
query-0.n3,data.n3,fwd,total,21,35
query-1.n3,data.n3,direct,n/a,8,11
query-1.n3,data.n3,bwd,create,8,24
query-1.n3,data.n3,bwd,run,12,2
query-1.n3,data.n3,bwd,total,20,26
query-1.n3,data.n3,fwd,create,14,55
query-1.n3,data.n3,fwd,run,12,6
query-1.n3,data.n3,fwd,total,26,61
query-10.n3,data.n3,direct,n/a,9,3
query-10.n3,data.n3,bwd,create,9,25
query-10.n3,data.n3,bwd,run,14,1
query-10.n3,data.n3,bwd,total,23,26
query-10.n3,data.n3,fwd,create,14,61
query-10.n3,data.n3,fwd,run,13,3
query-10.n3,data.n3,fwd,total,27,64
query-11.n3,data.n3,direct,n/a,9,23
query-11.n3,data.n3,bwd,create,9,23
query-11.n3,data.n3,bwd,run,12,8
query-11.n3,data.n3,bwd,total,21,31
query-11.n3,data.n3,fwd,create,13,56
query-11.n3,data.n3,fwd,run,11,11
query-11.n3,data.n3,fwd,total,24,67
query-12.n3,data.n3,direct,n/a,9,205
query-12.n3,data.n3,bwd,create,8,20
query-12.n3,data.n3,bwd,run,11,96
query-12.n3,data.n3,bwd,total,19,116
query-12.n3,data.n3,fwd,create,15,52
query-12.n3,data.n3,fwd,run,10,22
query-12.n3,data.n3,fwd,total,25,74
query-13.n3,data.n3,direct,n/a,8,1
query-13.n3,data.n3,bwd,create,8,15
query-13.n3,data.n3,bwd,run,10,0
query-13.n3,data.n3,bwd,total,18,15
query-13.n3,data.n3,fwd,create,14,38
query-13.n3,data.n3,fwd,run,9,1
query-13.n3,data.n3,fwd,total,23,39
query-14.n3,data.n3,direct,n/a,8,65
query-14.n3,data.n3,bwd,create,8,12
query-14.n3,data.n3,bwd,run,8,29
query-14.n3,data.n3,bwd,total,16,41
query-14.n3,data.n3,fwd,create,13,30
query-14.n3,data.n3,fwd,run,7,10
query-14.n3,data.n3,fwd,total,20,40
query-16.n3,data.n3,direct,n/a,8,194
query-16.n3,data.n3,bwd,create,8,30
query-16.n3,data.n3,bwd,run,14,83
query-16.n3,data.n3,bwd,total,22,113
query-16.n3,data.n3,fwd,create,13,72
query-16.n3,data.n3,fwd,run,13,73
query-16.n3,data.n3,fwd,total,26,145
query-17.n3,data.n3,direct,n/a,8,4
query-17.n3,data.n3,bwd,create,8,19
query-17.n3,data.n3,bwd,run,12,2
query-17.n3,data.n3,bwd,total,20,21
query-17.n3,data.n3,fwd,create,13,44
query-17.n3,data.n3,fwd,run,12,2
query-17.n3,data.n3,fwd,total,25,46
query-19.n3,data.n3,direct,n/a,9,2
query-19.n3,data.n3,bwd,create,8,25
query-19.n3,data.n3,bwd,run,13,0
query-19.n3,data.n3,bwd,total,21,25
query-19.n3,data.n3,fwd,create,14,60
query-19.n3,data.n3,fwd,run,13,3
query-19.n3,data.n3,fwd,total,27,63
query-2.n3,data.n3,direct,n/a,10,1087
query-2.n3,data.n3,bwd,create,9,31
